chr	source	feature	start	end	score	strand	frame	group	log_RPM	expression
chr19	.	miRNA	50335275	50335356	.	+	.	Name=hsa-mir-6800;ID=MI0022645	-5.17496571531869	0
chr19	.	miRNA	50357848	50357908	.	+	.	Name=hsa-mir-4749;ID=MI0017388	-3.63685366817782	0
chr19	.	miRNA	50391432	50391487	.	+	.	Name=hsa-mir-4750;ID=MI0017389	-5.17496571531869	0
chr19	.	miRNA	52195865	52195934	.	+	.	Name=hsa-mir-99b;ID=MI0000746	4.96416154163563	2
chr19	.	miRNA	52196039	52196117	.	+	.	Name=hsa-let-7e;ID=MI0000066	6.98234390576487	2
chr19	.	miRNA	52196507	52196592	.	+	.	Name=hsa-mir-125a;ID=MI0000469	2.82597003154586	2
chr19	.	miRNA	52725273	52725351	.	+	.	Name=hsa-mir-6801;ID=MI0022646	-5.17496571531869	0
chr19	.	miRNA	54169933	54170016	.	+	.	Name=hsa-mir-512-1;ID=MI0003140	-5.17496571531869	0
chr19	.	miRNA	54172411	54172508	.	+	.	Name=hsa-mir-512-2;ID=MI0003141	-5.17496571531869	0
chr19	.	miRNA	54182257	54182339	.	+	.	Name=hsa-mir-515-1;ID=MI0003144	-5.17496571531869	0
chr19	.	miRNA	54183194	54183277	.	+	.	Name=hsa-mir-519e;ID=MI0003145	-5.17496571531869	0
chr19	.	miRNA	54185413	54185499	.	+	.	Name=hsa-mir-520f;ID=MI0003146	-4.43969243723542	0
chr19	.	miRNA	54188263	54188345	.	+	.	Name=hsa-mir-515-2;ID=MI0003147	-5.17496571531869	0
chr19	.	miRNA	54189723	54189809	.	+	.	Name=hsa-mir-519c;ID=MI0003148	-5.17496571531869	0
chr19	.	miRNA	54194135	54194219	.	+	.	Name=hsa-mir-520a;ID=MI0003149	-5.17496571531869	0
chr19	.	miRNA	54197647	54197729	.	+	.	Name=hsa-mir-526b;ID=MI0003150	-5.17496571531869	0
chr19	.	miRNA	54198467	54198547	.	+	.	Name=hsa-mir-519b;ID=MI0003151	-5.17496571531869	0
chr19	.	miRNA	54200787	54200871	.	+	.	Name=hsa-mir-525;ID=MI0003152	-5.17496571531869	0
chr19	.	miRNA	54201639	54201725	.	+	.	Name=hsa-mir-523;ID=MI0003153	-5.17496571531869	0
chr19	.	miRNA	54203269	54203355	.	+	.	Name=hsa-mir-518f;ID=MI0003154	-5.17496571531869	0
chr19	.	miRNA	54210707	54210793	.	+	.	Name=hsa-mir-520c;ID=MI0003158	-5.17496571531869	0
chr19	.	miRNA	54211989	54212089	.	+	.	Name=hsa-mir-518c;ID=MI0003159	-5.17496571531869	0
chr19	.	miRNA	54214256	54214342	.	+	.	Name=hsa-mir-524;ID=MI0003160	-5.17496571531869	0
chr19	.	miRNA	54215522	54215608	.	+	.	Name=hsa-mir-517a;ID=MI0003161	-4.74122029603076	0
chr19	.	miRNA	54216601	54216688	.	+	.	Name=hsa-mir-519d;ID=MI0003162	-5.17496571531869	0
chr19	.	miRNA	54223350	54223436	.	+	.	Name=hsa-mir-520d;ID=MI0003164	-5.17496571531869	0
chr19	.	miRNA	54224330	54224396	.	+	.	Name=hsa-mir-517b;ID=MI0003165	-5.17496571531869	0
chr19	.	miRNA	54225420	54225509	.	+	.	Name=hsa-mir-520g;ID=MI0003166	-5.17496571531869	0
chr19	.	miRNA	54228696	54228780	.	+	.	Name=hsa-mir-516b-2;ID=MI0003167	-5.17496571531869	0
chr19	.	miRNA	54233092	54233179	.	+	.	Name=hsa-mir-518e;ID=MI0003169	-5.17496571531869	0
chr19	.	miRNA	54234260	54234344	.	+	.	Name=hsa-mir-518a-1;ID=MI0003170	-5.17496571531869	0
chr19	.	miRNA	54238131	54238217	.	+	.	Name=hsa-mir-518d;ID=MI0003171	-5.17496571531869	0
chr19	.	miRNA	54240099	54240188	.	+	.	Name=hsa-mir-516b-1;ID=MI0003172	-5.17496571531869	0
chr19	.	miRNA	54242587	54242673	.	+	.	Name=hsa-mir-518a-2;ID=MI0003173	-5.17496571531869	0
chr19	.	miRNA	54244567	54244661	.	+	.	Name=hsa-mir-517c;ID=MI0003174	-4.79860402865823	0
chr19	.	miRNA	54254465	54254551	.	+	.	Name=hsa-mir-522;ID=MI0003177	-5.17496571531869	0
chr19	.	miRNA	54255651	54255735	.	+	.	Name=hsa-mir-519a-1;ID=MI0003178	-5.17496571531869	0
chr19	.	miRNA	54259995	54260084	.	+	.	Name=hsa-mir-516a-1;ID=MI0003180	-3.15789013363879	0
chr19	.	miRNA	54264387	54264476	.	+	.	Name=hsa-mir-516a-2;ID=MI0003181	-3.15789013363879	0
chr19	.	miRNA	54265598	54265684	.	+	.	Name=hsa-mir-519a-2;ID=MI0003182	-5.17496571531869	0
chr19	.	miRNA	54290929	54290995	.	+	.	Name=hsa-mir-371a;ID=MI0000779	-5.17496571531869	0
chr19	.	miRNA	54290931	54290996	.	-	.	Name=hsa-mir-371b;ID=MI0017393	-5.17496571531869	0
chr19	.	miRNA	54291144	54291210	.	+	.	Name=hsa-mir-372;ID=MI0000780	-5.17496571531869	0
chr19	.	miRNA	54291959	54292027	.	+	.	Name=hsa-mir-373;ID=MI0000781	-5.17496571531869	0
chr19	.	miRNA	55742253	55742320	.	-	.	Name=hsa-mir-6804;ID=MI0022649	-5.17496571531869	0
chr19	.	miRNA	55751280	55751344	.	-	.	Name=hsa-mir-6802;ID=MI0022647	-3.74016264729499	0
chr19	.	miRNA	55756554	55756618	.	-	.	Name=hsa-mir-6803;ID=MI0022648	-5.17496571531869	0
chr19	.	miRNA	55899549	55899610	.	+	.	Name=hsa-mir-6805;ID=MI0022650	-4.13543273380648	0
chr19	.	miRNA	58846054	58846117	.	+	.	Name=hsa-mir-6806;ID=MI0022651	-5.17496571531869	0
chr19	.	miRNA	59061652	59061743	.	+	.	Name=hsa-mir-6807;ID=MI0022652	-3.63685366817782	0
chr2	.	miRNA	6114794	6114864	.	+	.	Name=hsa-mir-7158;ID=MI0023618	-4.79860402865823	0
chr2	.	miRNA	12339256	12339327	.	+	.	Name=hsa-mir-3681;ID=MI0016082	-5.17496571531869	0
chr2	.	miRNA	19548190	19548266	.	+	.	Name=hsa-mir-4757;ID=MI0017398	-1.64433813396953	1
chr2	.	miRNA	25551509	25551590	.	-	.	Name=hsa-mir-1301;ID=MI0003815	-0.953714298500783	2
chr2	.	miRNA	54076259	54076342	.	-	.	Name=hsa-mir-3682;ID=MI0016083	-5.17496571531869	0
chr2	.	miRNA	56216085	56216194	.	-	.	Name=hsa-mir-216a;ID=MI0000292	-2.32358983646748	1
chr2	.	miRNA	56227849	56227930	.	-	.	Name=hsa-mir-216b;ID=MI0005569	-5.17496571531869	0
chr2	.	miRNA	64567881	64567982	.	-	.	Name=hsa-mir-4433b;ID=MI0025511	-5.17496571531869	0
chr2	.	miRNA	64567893	64567973	.	+	.	Name=hsa-mir-4433;ID=MI0016773	-5.17496571531869	0
chr2	.	miRNA	66585381	66585460	.	-	.	Name=hsa-mir-4778;ID=MI0017422	-5.17496571531869	0
chr2	.	miRNA	69330814	69330887	.	+	.	Name=hsa-mir-3126;ID=MI0014143	0.0653055019979453	2
chr2	.	miRNA	70480050	70480137	.	-	.	Name=hsa-mir-1285-2;ID=MI0006347	-5.17496571531869	0
chr2	.	miRNA	75317939	75318041	.	+	.	Name=hsa-mir-5000;ID=MI0017866	-0.244190967781379	2
chr2	.	miRNA	97464015	97464090	.	+	.	Name=hsa-mir-3127;ID=MI0014144	-5.17496571531869	0
chr2	.	miRNA	103048749	103048826	.	+	.	Name=hsa-mir-4772;ID=MI0017414	-5.17496571531869	0
chr2	.	miRNA	110844010	110844100	.	-	.	Name=hsa-mir-4436b-1;ID=MI0017425	-5.17496571531869	0
chr2	.	miRNA	111042430	111042520	.	+	.	Name=hsa-mir-4436b-2;ID=MI0019110	-5.17496571531869	0
chr2	.	miRNA	114478867	114478945	.	-	.	Name=hsa-mir-4782;ID=MI0017427	-2.72145703134965	1
chr2	.	miRNA	128181113	128181194	.	-	.	Name=hsa-mir-4783;ID=MI0017428	-2.75915747420908	1
chr2	.	miRNA	134884696	134884763	.	+	.	Name=hsa-mir-3679;ID=MI0016080	-3.86255205330157	0
chr2	.	miRNA	135615390	135615443	.	+	.	Name=hsa-mir-5590;ID=MI0019150	-5.17496571531869	0
chr2	.	miRNA	136422967	136423048	.	+	.	Name=hsa-mir-128-1;ID=MI0000447	4.70147904353187	2
chr2	.	miRNA	141344195	141344254	.	-	.	Name=hsa-mir-7157;ID=MI0023617	-5.17496571531869	0
chr2	.	miRNA	160043346	160043412	.	+	.	Name=hsa-mir-6888;ID=MI0022735	-3.31395075260896	0
chr2	.	miRNA	169439453	169439528	.	+	.	Name=hsa-mir-4774;ID=MI0017417	-3.30567621893175	0
chr2	.	miRNA	177015031	177015140	.	+	.	Name=hsa-mir-10b;ID=MI0000267	-1.34072792181058	1
chr2	.	miRNA	178178534	178178610	.	-	.	Name=hsa-mir-6512;ID=MI0022224	-3.11386508224592	1
chr2	.	miRNA	189162219	189162315	.	+	.	Name=hsa-mir-561;ID=MI0003567	1.62723518661167	2
chr2	.	miRNA	189842819	189842887	.	-	.	Name=hsa-mir-1245b;ID=MI0017431	-3.45761732935046	0
chr2	.	miRNA	189860356	189860418	.	+	.	Name=hsa-mir-3606;ID=MI0015996	-2.72375685276551	1
chr2	.	miRNA	189997762	189997837	.	-	.	Name=hsa-mir-3129;ID=MI0014146	-0.872867283127845	2
chr2	.	miRNA	207647958	207648032	.	+	.	Name=hsa-mir-3130-2;ID=MI0014148	-3.42718529538189	0
chr2	.	miRNA	207647958	207648032	.	-	.	Name=hsa-mir-3130-1;ID=MI0014147	-3.42718529538189	0
chr2	.	miRNA	207974711	207974797	.	-	.	Name=hsa-mir-2355;ID=MI0015873	3.12611534915178	2
chr2	.	miRNA	208031124	208031222	.	+	.	Name=hsa-mir-7845;ID=MI0025515	-3.86255205330157	0
chr2	.	miRNA	213290987	213291084	.	-	.	Name=hsa-mir-548f-2;ID=MI0006375	-5.17496571531869	0
chr2	.	miRNA	213790981	213791060	.	+	.	Name=hsa-mir-4776-1;ID=MI0017419	-5.17496571531869	0
chr2	.	miRNA	213790981	213791060	.	-	.	Name=hsa-mir-4776-2;ID=MI0017420	-5.17496571531869	0
chr2	.	miRNA	218765236	218765351	.	-	.	Name=hsa-mir-6809;ID=MI0022654	-5.17496571531869	0
chr2	.	miRNA	219144848	219144911	.	-	.	Name=hsa-mir-6513;ID=MI0022225	-0.870539686286532	2
chr2	.	miRNA	219206634	219206703	.	+	.	Name=hsa-mir-6810;ID=MI0022655	-5.17496571531869	0
chr2	.	miRNA	219267369	219267445	.	+	.	Name=hsa-mir-26b;ID=MI0000084	6.39644366310306	2
chr2	.	miRNA	220158833	220158922	.	-	.	Name=hsa-mir-153-1;ID=MI0000463	-0.315589552812469	2
chr2	.	miRNA	232227419	232227504	.	+	.	Name=hsa-mir-4777;ID=MI0017421	-2.63685073518267	1
chr2	.	miRNA	233415184	233415283	.	-	.	Name=hsa-mir-5001;ID=MI0017867	-0.975601107732543	2
chr2	.	miRNA	238419574	238419631	.	+	.	Name=hsa-mir-6811;ID=MI0022656	-5.17496571531869	0
chr2	.	miRNA	240273419	240273499	.	-	.	Name=hsa-mir-2467;ID=MI0017432	-3.00379333393465	1
chr2	.	miRNA	240882432	240882511	.	-	.	Name=hsa-mir-4786;ID=MI0017433	-5.17496571531869	0
chr2	.	miRNA	241395418	241395506	.	+	.	Name=hsa-mir-149;ID=MI0000478	3.9459788401413	2
chr20	.	miRNA	1373544	1373605	.	-	.	Name=hsa-mir-6869;ID=MI0022716	-3.27947825441918	0
chr20	.	miRNA	2633423	2633488	.	+	.	Name=hsa-mir-1292;ID=MI0006433	-2.40572183984878	1
chr20	.	miRNA	3898141	3898218	.	+	.	Name=hsa-mir-103a-2;ID=MI0000108	7.34304298160568	2
chr20	.	miRNA	10630284	10630343	.	-	.	Name=hsa-mir-6870;ID=MI0022717	-3.85538716677463	0
chr20	.	miRNA	18451259	18451335	.	+	.	Name=hsa-mir-3192;ID=MI0014237	-3.63685366817782	0
chr20	.	miRNA	32636925	32636996	.	+	.	Name=hsa-mir-4755;ID=MI0017395	-3.30980492730633	0
chr20	.	miRNA	33578179	33578300	.	+	.	Name=hsa-mir-499a;ID=MI0003183	0.391213602312734	2
chr20	.	miRNA	33578203	33578275	.	-	.	Name=hsa-mir-499b;ID=MI0017396	-3.40217944747207	0
chr20	.	miRNA	37145206	37145275	.	+	.	Name=hsa-mir-548o-2;ID=MI0016746	-2.34367326457842	1
chr20	.	miRNA	39797663	39797718	.	+	.	Name=hsa-mir-6871;ID=MI0022718	-5.17496571531869	0
chr20	.	miRNA	44054150	44054213	.	+	.	Name=hsa-mir-6812;ID=MI0022657	-5.17496571531869	0
chr20	.	miRNA	44333741	44333819	.	-	.	Name=hsa-mir-3617;ID=MI0016007	-3.72612952182449	0
chr20	.	miRNA	45795609	45795700	.	+	.	Name=hsa-mir-3616;ID=MI0016006	-0.607438474741888	2
chr20	.	miRNA	50069442	50069514	.	-	.	Name=hsa-mir-3194;ID=MI0014239	-5.17496571531869	0
chr20	.	miRNA	52684947	52685024	.	-	.	Name=hsa-mir-4756;ID=MI0017397	-5.17496571531869	0
chr20	.	miRNA	57392670	57392749	.	-	.	Name=hsa-mir-296;ID=MI0000747	0.831921261296263	2
chr20	.	miRNA	60907543	60907613	.	-	.	Name=hsa-mir-4758;ID=MI0017399	-5.17496571531869	0
chr20	.	miRNA	61162119	61162220	.	+	.	Name=hsa-mir-133a-2;ID=MI0000451	-3.98563862802063	0
chr20	.	miRNA	61809852	61809938	.	+	.	Name=hsa-mir-124-3;ID=MI0000445	-3.45761732935046	0
chr20	.	miRNA	62572818	62572897	.	-	.	Name=hsa-mir-1914;ID=MI0008335	-4.04807311547082	0
chr20	.	miRNA	62708308	62708363	.	-	.	Name=hsa-mir-6813;ID=MI0022658	-3.37876378312221	0
chr21	.	miRNA	14778705	14778781	.	-	.	Name=hsa-mir-3156-3;ID=MI0014242	-5.17496571531869	0
chr21	.	miRNA	17911409	17911489	.	+	.	Name=hsa-mir-99a;ID=MI0000101	5.57516175152155	2
chr21	.	miRNA	17912148	17912231	.	+	.	Name=hsa-let-7c;ID=MI0000064	2.50871329057774	2
chr21	.	miRNA	17962557	17962645	.	+	.	Name=hsa-mir-125b-2;ID=MI0000470	6.36389365988491	2
chr21	.	miRNA	20058408	20058482	.	-	.	Name=hsa-mir-548x;ID=MI0014244	-5.17496571531869	0
chr21	.	miRNA	26946292	26946356	.	+	.	Name=hsa-mir-155;ID=MI0000681	6.76869500844907	2
chr21	.	miRNA	34922968	34923034	.	+	.	Name=hsa-mir-6501;ID=MI0022213	-5.17496571531869	0
chr21	.	miRNA	40818936	40818995	.	+	.	Name=hsa-mir-6508;ID=MI0022220	-5.17496571531869	0
chr21	.	miRNA	41584279	41584358	.	-	.	Name=hsa-mir-4760;ID=MI0017401	-5.17496571531869	0
chr21	.	miRNA	43166932	43167001	.	-	.	Name=hsa-mir-6814;ID=MI0022659	-5.17496571531869	0
chr21	.	miRNA	46898180	46898240	.	+	.	Name=hsa-mir-6815;ID=MI0022660	-2.86116712337458	1
chr22	.	miRNA	19951276	19951357	.	+	.	Name=hsa-mir-4761;ID=MI0017402	-2.93450753728031	1
chr22	.	miRNA	20020662	20020743	.	+	.	Name=hsa-mir-185;ID=MI0000482	3.49707251085441	2
chr22	.	miRNA	20073581	20073665	.	+	.	Name=hsa-mir-1306;ID=MI0006443	-0.864106291352389	2
chr22	.	miRNA	20102209	20102274	.	-	.	Name=hsa-mir-6816;ID=MI0022661	-4.07635342665058	0
chr22	.	miRNA	22007593	22007674	.	+	.	Name=hsa-mir-130b;ID=MI0000748	3.5865740225939	2
chr22	.	miRNA	23228447	23228559	.	+	.	Name=hsa-mir-5571;ID=MI0019115	-5.17496571531869	0
chr22	.	miRNA	25851613	25851678	.	+	.	Name=hsa-mir-6817;ID=MI0022662	-2.57546823015462	1
chr22	.	miRNA	26951178	26951289	.	-	.	Name=hsa-mir-548j;ID=MI0006345	0.847900143233106	2
chr22	.	miRNA	30403038	30403102	.	+	.	Name=hsa-mir-6818;ID=MI0022663	-1.6452940298593	1
chr22	.	miRNA	31127544	31127628	.	+	.	Name=hsa-mir-3200;ID=MI0014249	-0.110400572936357	2
chr22	.	miRNA	31556048	31556105	.	-	.	Name=hsa-mir-3928;ID=MI0016438	-2.24706185425159	1
chr22	.	miRNA	32017453	32017517	.	-	.	Name=hsa-mir-7109;ID=MI0022960	-5.17496571531869	0
chr22	.	miRNA	33832568	33832655	.	-	.	Name=hsa-mir-4764;ID=MI0017405	-5.17496571531869	0
chr22	.	miRNA	36682893	36682953	.	-	.	Name=hsa-mir-6819;ID=MI0022664	-5.17496571531869	0
chr22	.	miRNA	38243685	38243781	.	-	.	Name=hsa-mir-659;ID=MI0003683	-1.09306229143132	2
chr22	.	miRNA	38363570	38363631	.	+	.	Name=hsa-mir-6820;ID=MI0022665	-1.44966542369766	1
chr22	.	miRNA	41209887	41209962	.	-	.	Name=hsa-mir-4766;ID=MI0017407	0.28868976652605	2
chr22	.	miRNA	41648996	41649054	.	-	.	Name=hsa-mir-6889;ID=MI0022736	-5.17496571531869	0
chr22	.	miRNA	42296948	42297016	.	+	.	Name=hsa-mir-33a;ID=MI0000091	2.3065372553364	2
chr22	.	miRNA	46156404	46156478	.	+	.	Name=hsa-mir-4762;ID=MI0017403	-1.38238136989496	1
chr22	.	miRNA	46486924	46487006	.	+	.	Name=hsa-mir-3619;ID=MI0016009	0.0515623191913494	2
chr22	.	miRNA	46508629	46508702	.	+	.	Name=hsa-let-7a-3;ID=MI0000062	8.40516317984602	2
chr22	.	miRNA	46509446	46509537	.	+	.	Name=hsa-mir-4763;ID=MI0017404	-4.74122029603076	0
chr22	.	miRNA	46509566	46509648	.	+	.	Name=hsa-let-7b;ID=MI0000063	5.6384819759273	2
chr22	.	miRNA	49937041	49937114	.	-	.	Name=hsa-mir-3667;ID=MI0016068	-3.08813430672845	0
chr22	.	miRNA	50356514	50356587	.	+	.	Name=hsa-mir-6821;ID=MI0022666	-4.43969243723542	0
chr3	.	miRNA	5291862	5291940	.	-	.	Name=hsa-mir-4790;ID=MI0017437	-5.17496571531869	0
chr3	.	miRNA	10436173	10436246	.	-	.	Name=hsa-mir-885;ID=MI0005560	-5.17496571531869	0
chr3	.	miRNA	32547775	32547881	.	-	.	Name=hsa-mir-548ay;ID=MI0022210	-3.05731549829483	1
chr3	.	miRNA	35785968	35786051	.	+	.	Name=hsa-mir-128-2;ID=MI0000727	4.57562220307351	2
chr3	.	miRNA	38010895	38010971	.	+	.	Name=hsa-mir-26a-1;ID=MI0000083	8.08754869121159	2
chr3	.	miRNA	39179697	39179757	.	+	.	Name=hsa-mir-6822;ID=MI0022667	-3.06376440201718	1
chr3	.	miRNA	44155704	44155802	.	+	.	Name=hsa-mir-138-1;ID=MI0000476	-0.112821147385402	2
chr3	.	miRNA	47891045	47891119	.	+	.	Name=hsa-mir-1226;ID=MI0006313	1.19684413119459	2
chr3	.	miRNA	48357850	48357949	.	-	.	Name=hsa-mir-2115;ID=MI0010634	-5.17496571531869	0
chr3	.	miRNA	48587394	48587454	.	-	.	Name=hsa-mir-6823;ID=MI0022668	-5.17496571531869	0
chr3	.	miRNA	48671069	48671131	.	-	.	Name=hsa-mir-6824;ID=MI0022669	-5.17496571531869	0
chr3	.	miRNA	48681627	48681713	.	-	.	Name=hsa-mir-4793;ID=MI0017440	-5.17496571531869	0
chr3	.	miRNA	49057581	49057667	.	-	.	Name=hsa-mir-425;ID=MI0001448	5.64124918747127	2
chr3	.	miRNA	49058051	49058142	.	-	.	Name=hsa-mir-191;ID=MI0000465	7.03600451071856	2
chr3	.	miRNA	49137287	49137347	.	-	.	Name=hsa-mir-6890;ID=MI0022737	-5.17496571531869	0
chr3	.	miRNA	50310667	50310728	.	+	.	Name=hsa-mir-6872;ID=MI0022719	-5.17496571531869	0
chr3	.	miRNA	50712511	50712594	.	+	.	Name=hsa-mir-4787;ID=MI0017434	-4.79860402865823	0
chr3	.	miRNA	52302294	52302377	.	-	.	Name=hsa-let-7g;ID=MI0000433	6.52575536489603	2
chr3	.	miRNA	52328235	52328324	.	-	.	Name=hsa-mir-135a-1;ID=MI0000452	-4.79860402865823	0
chr3	.	miRNA	69098109	69098186	.	-	.	Name=hsa-mir-3136;ID=MI0014158	-1.47392061742012	1
chr3	.	miRNA	87275339	87275427	.	-	.	Name=hsa-mir-4795;ID=MI0017442	-2.90403478108215	1
chr3	.	miRNA	109321675	109321744	.	+	.	Name=hsa-mir-4445;ID=MI0016788	-5.17496571531869	0
chr3	.	miRNA	113313723	113313789	.	+	.	Name=hsa-mir-4446;ID=MI0016789	-5.17496571531869	0
chr3	.	miRNA	114462292	114462372	.	-	.	Name=hsa-mir-4796;ID=MI0017443	-2.59483843171829	1
chr3	.	miRNA	122880641	122880726	.	+	.	Name=hsa-mir-7110;ID=MI0022961	-4.48181853475874	0
chr3	.	miRNA	123851776	123851872	.	+	.	Name=hsa-mir-5002;ID=MI0017868	-1.94370355462272	1
chr3	.	miRNA	127294109	127294174	.	-	.	Name=hsa-mir-6825;ID=MI0022670	-5.17496571531869	0
chr3	.	miRNA	128990989	128991086	.	+	.	Name=hsa-mir-6826;ID=MI0022671	-3.85538716677463	0
chr3	.	miRNA	134086646	134086704	.	-	.	Name=hsa-mir-6827;ID=MI0022672	-3.52653441444704	0
chr3	.	miRNA	160122376	160122473	.	+	.	Name=hsa-mir-15b;ID=MI0000438	7.4238140097333	2
chr3	.	miRNA	160122533	160122613	.	+	.	Name=hsa-mir-16-2;ID=MI0000115	10.3234894247467	2
chr3	.	miRNA	168269642	168269737	.	+	.	Name=hsa-mir-551b;ID=MI0003575	-2.25807709766619	1
chr3	.	miRNA	170140891	170140950	.	+	.	Name=hsa-mir-6828;ID=MI0022673	-2.34524894273179	1
chr3	.	miRNA	175087329	175087410	.	+	.	Name=hsa-mir-4789;ID=MI0017436	-1.5434887548249	1
chr3	.	miRNA	183959193	183959277	.	+	.	Name=hsa-mir-1224;ID=MI0003764	-5.17496571531869	0
chr3	.	miRNA	184970998	184971060	.	-	.	Name=hsa-mir-5588;ID=MI0019147	-3.85538716677463	0
chr3	.	miRNA	185485635	185485692	.	-	.	Name=hsa-mir-548aq;ID=MI0019130	-2.49195452480445	1
chr3	.	miRNA	188406569	188406654	.	+	.	Name=hsa-mir-28;ID=MI0000086	6.73679718104827	2
chr3	.	miRNA	195426272	195426368	.	+	.	Name=hsa-mir-570;ID=MI0003577	0.603210523860494	2
chr3	.	miRNA	195609200	195609266	.	-	.	Name=hsa-mir-6829;ID=MI0022674	-4.3116867980044	0
chr3	.	miRNA	197020749	197020819	.	-	.	Name=hsa-mir-4797;ID=MI0017444	-2.96822522634843	1
chr4	.	miRNA	2251804	2251883	.	-	.	Name=hsa-mir-4800;ID=MI0017448	-5.17496571531869	0
chr4	.	miRNA	7312177	7312251	.	+	.	Name=hsa-mir-4798;ID=MI0017445	-5.17496571531869	0
chr4	.	miRNA	8007028	8007108	.	-	.	Name=hsa-mir-95;ID=MI0000097	-1.42570642583018	1
chr4	.	miRNA	20529898	20530007	.	+	.	Name=hsa-mir-218-1;ID=MI0000294	5.56018877314998	2
chr4	.	miRNA	36427988	36428050	.	-	.	Name=hsa-mir-1255b-1;ID=MI0006435	-5.17496571531869	0
chr4	.	miRNA	38869653	38869748	.	+	.	Name=hsa-mir-574;ID=MI0003581	1.09648291618289	2
chr4	.	miRNA	39413530	39413594	.	+	.	Name=hsa-mir-5591;ID=MI0019151	-5.17496571531869	0
chr4	.	miRNA	40504057	40504136	.	-	.	Name=hsa-mir-4802;ID=MI0017450	-2.76687117245523	1
chr4	.	miRNA	77496704	77496779	.	+	.	Name=hsa-mir-548ah;ID=MI0016796	-5.17496571531869	0
chr4	.	miRNA	110409854	110409951	.	+	.	Name=hsa-mir-576;ID=MI0003583	1.24762132167219	2
chr4	.	miRNA	113569030	113569097	.	-	.	Name=hsa-mir-367;ID=MI0000775	-0.894350874543802	2
chr4	.	miRNA	113569160	113569227	.	-	.	Name=hsa-mir-302d;ID=MI0000774	-0.41782553442413	2
chr4	.	miRNA	113569339	113569407	.	-	.	Name=hsa-mir-302a;ID=MI0000738	2.38863249451865	2
chr4	.	miRNA	113569519	113569586	.	-	.	Name=hsa-mir-302c;ID=MI0000773	0.63412125070591	2
chr4	.	miRNA	113569641	113569713	.	-	.	Name=hsa-mir-302b;ID=MI0000772	2.63175068134749	2
chr4	.	miRNA	147329735	147329840	.	+	.	Name=hsa-mir-7849;ID=MI0025519	-5.17496571531869	0
chr4	.	miRNA	148265781	148265869	.	-	.	Name=hsa-mir-548g;ID=MI0006395	-5.17496571531869	0
chr4	.	miRNA	148703746	148703819	.	+	.	Name=hsa-mir-4799;ID=MI0017446	-3.74016264729499	0
chr4	.	miRNA	153410479	153410568	.	-	.	Name=hsa-mir-3140;ID=MI0014163	-3.06053475162011	1
chr4	.	miRNA	160049954	160050046	.	-	.	Name=hsa-mir-3688-1;ID=MI0016089	-2.54015581576933	1
chr4	.	miRNA	160049957	160050043	.	+	.	Name=hsa-mir-3688-2;ID=MI0017447	-2.54015581576933	1
chr4	.	miRNA	174189311	174189384	.	+	.	Name=hsa-mir-548t;ID=MI0014164	-2.56080195750739	1
chr5	.	miRNA	15935291	15935369	.	+	.	Name=hsa-mir-887;ID=MI0005562	3.03274665869117	2
chr5	.	miRNA	32394484	32394581	.	-	.	Name=hsa-mir-579;ID=MI0003586	-0.309349805634527	2
chr5	.	miRNA	36147994	36148090	.	-	.	Name=hsa-mir-580;ID=MI0003587	0.177426711695362	2
chr5	.	miRNA	54466474	54466570	.	-	.	Name=hsa-mir-449b;ID=MI0003673	-2.43690542181216	1
chr5	.	miRNA	54468090	54468181	.	-	.	Name=hsa-mir-449c;ID=MI0003823	-1.56798500007947	1
chr5	.	miRNA	58999432	58999529	.	-	.	Name=hsa-mir-582;ID=MI0003589	-3.11386508224592	1
chr5	.	miRNA	72174418	72174490	.	+	.	Name=hsa-mir-4804;ID=MI0017452	-1.87813992838331	1
chr5	.	miRNA	85916314	85916392	.	+	.	Name=hsa-mir-3607;ID=MI0015997	2.68721696378153	2
chr5	.	miRNA	87962671	87962757	.	-	.	Name=hsa-mir-9-2;ID=MI0000467	2.38872966751047	2
chr5	.	miRNA	92956402	92956494	.	-	.	Name=hsa-mir-2277;ID=MI0011284	-0.425989958097059	2
chr5	.	miRNA	109849530	109849616	.	-	.	Name=hsa-mir-548f-3;ID=MI0006376	-5.17496571531869	0
chr5	.	miRNA	128433381	128433459	.	+	.	Name=hsa-mir-4633;ID=MI0017260	-5.17496571531869	0
chr5	.	miRNA	131553542	131553611	.	-	.	Name=hsa-mir-6830;ID=MI0022675	-5.17496571531869	0
chr5	.	miRNA	136983261	136983338	.	-	.	Name=hsa-mir-874;ID=MI0005532	1.35231559396604	2
chr5	.	miRNA	139943256	139943336	.	-	.	Name=hsa-mir-6831;ID=MI0022676	-5.17496571531869	0
chr5	.	miRNA	143059425	143059536	.	+	.	Name=hsa-mir-5197;ID=MI0018176	-5.17496571531869	0
chr5	.	miRNA	148441876	148441972	.	-	.	Name=hsa-mir-584;ID=MI0003591	-0.27945387748315	2
chr5	.	miRNA	148808481	148808586	.	+	.	Name=hsa-mir-143;ID=MI0000459	6.76323884162233	2
chr5	.	miRNA	148810209	148810296	.	+	.	Name=hsa-mir-145;ID=MI0000461	5.62948374678916	2
chr5	.	miRNA	149112388	149112453	.	+	.	Name=hsa-mir-378a;ID=MI0000786	3.60735152700815	2
